name,price,clicks,update,status
app.com,$45,"3,330","Feb 12",expiring
base.com,$35,"2,595","Feb 18",registered
max.com,$60,"4,400","Mar 11",expiring
best.com,$75,"6,500","Apr 03",flagged
pro.com,$55,"4,250","Jan 21",registered
team.com,$40,"3,200","Feb 09",flagged
up.com,$95,"8,520","Feb 22",sold
view.com,$45,"4,100","Mar 12",registered
nice.com,$38,"3,940","Feb 12",sold
fine.com,$25,"2,983","Apr 01",expiring
good.com,$50,"6,500","Feb 02",flagged
great.com,$55,"6,400","Feb 24",registered
shine.com,$25,"2,200","Apr 01",flagged
rise.com,$42,"3,900","Feb 01",sold
above.com,$35,"3,420","Mar 12",expiring
share.com,$30,"3,200","Feb 11",sold
fair.com,$35,"3,900","Mar 26",flagged
year.com,$48,"3,990","Feb 15",expiring
day.com,$55,"5,600","Jan 29",sold
light.com,$40,"3,100","Feb 17",registered
sight.com,$58,"6,100","Feb 19",flagged
right.com,$50,"4,400","Apr 01",expiring
once.com,$20,"1,400","Apr 04",sold
