P1|P2|P3|样本数|平均月薪|链接|1年以内|1-3年|3-5年|5-10年|10年以上|24岁以下|25岁-29岁|30岁-34岁|35岁-39岁|40岁-44岁|45岁以上
技术|后端开发|Java|255,567|￥8860|https://www.zhipin.com/salaryxc/c101120100_p100101.html|1年以内工作经验占比1%，平均月薪¥5,900；|1-3年工作经验占比29%，平均月薪¥7,700；|3-5年工作经验占比53%，平均月薪¥9,300；|5-10年工作经验占比16%，平均月薪¥10,900；|10年以上工作经验占比1%，平均月薪¥12,000；|24岁以下占比45%；|25岁-29岁占比44%；|30岁-34岁占比8%；|35岁-39岁占比2%；||45岁以上占比1%；
技术|后端开发|C/C++|18,831|￥10380|https://www.zhipin.com/salaryxc/c101120100_p100102.html|1年以内工作经验占比2%，平均月薪¥6,200；|1-3年工作经验占比50%，平均月薪¥8,800；|3-5年工作经验占比41%，平均月薪¥10,900；|5-10年工作经验占比7%，平均月薪¥13,500；||24岁以下占比55%；|25岁-29岁占比29%；|30岁-34岁占比10%；|35岁-39岁占比4%；|40岁-44岁占比1%；|45岁以上占比1%；
技术|后端开发|PHP|10,407|￥8416|https://www.zhipin.com/salaryxc/c101120100_p100103.html||1-3年工作经验占比37%，平均月薪¥7,100；|3-5年工作经验占比57%，平均月薪¥8,600；|5-10年工作经验占比6%，平均月薪¥10,000；||24岁以下占比36%；|25岁-29岁占比40%；|30岁-34岁占比18%；|35岁-39岁占比4%；|40岁-44岁占比1%；|45岁以上占比1%；
技术|后端开发|C#|6,076|￥9069|https://www.zhipin.com/salaryxc/c101120100_p100106.html||1-3年工作经验占比27%，平均月薪¥7,600；|3-5年工作经验占比65%，平均月薪¥9,400；|5-10年工作经验占比8%，平均月薪¥10,000；||24岁以下占比43%；|25岁-29岁占比34%；|30岁-34岁占比12%；|35岁-39岁占比7%；|40岁-44岁占比2%；|45岁以上占比2%；
技术|后端开发|.NET|6,521|￥9056|https://www.zhipin.com/salaryxc/c101120100_p100107.html||1-3年工作经验占比28%，平均月薪¥7,400；|3-5年工作经验占比57%，平均月薪¥9,200；|5-10年工作经验占比14%，平均月薪¥9,900；|10年以上工作经验占比1%，平均月薪¥14,829；|24岁以下占比42%；|25岁-29岁占比39%；|30岁-34岁占比12%；|35岁-39岁占比5%；|40岁-44岁占比1%；|45岁以上占比1%；
技术|后端开发|Hadoop|510|￥10973|https://www.zhipin.com/salaryxc/c101120100_p100108.html||1-3年工作经验占比12%，平均月薪¥8,600；|3-5年工作经验占比84%，平均月薪¥10,000；|5-10年工作经验占比3%，平均月薪¥12,400；|10年以上工作经验占比1%，平均月薪¥18,574；|24岁以下占比40%；|25岁-29岁占比52%；|30岁-34岁占比6%；|35岁-39岁占比2%；||
技术|后端开发|Python|8,463|￥9206|https://www.zhipin.com/salaryxc/c101120100_p100109.html||1-3年工作经验占比39%，平均月薪¥7,700；|3-5年工作经验占比57%，平均月薪¥9,200；|5-10年工作经验占比3%，平均月薪¥12,900；|10年以上工作经验占比1%，平均月薪¥19,323；|24岁以下占比53%；|25岁-29岁占比38%；|30岁-34岁占比6%；|35岁-39岁占比2%；||45岁以上占比1%；
技术|后端开发|Node.js|562|￥10213|https://www.zhipin.com/salaryxc/c101120100_p100114.html||1-3年工作经验占比15%，平均月薪¥6,300；|3-5年工作经验占比72%，平均月薪¥10,000；|5-10年工作经验占比12%，平均月薪¥10,300；|10年以上工作经验占比1%，平均月薪¥14,979；|24岁以下占比45%；|25岁-29岁占比43%；|30岁-34岁占比7%；|35岁-39岁占比3%；|40岁-44岁占比1%；|45岁以上占比1%；
技术|后端开发|Golang|1,810|￥9806|https://www.zhipin.com/salaryxc/c101120100_p100116.html||1-3年工作经验占比43%，平均月薪¥12,900；|3-5年工作经验占比53%，平均月薪¥13,700；|5-10年工作经验占比3%，平均月薪¥13,950；|10年以上工作经验占比1%，平均月薪¥20,521；|24岁以下占比51%；|25岁-29岁占比34%；|30岁-34岁占比12%；|35岁-39岁占比3%；||
技术|后端开发|语音/视频/图形开发|91|￥11533|https://www.zhipin.com/salaryxc/c101120100_p100121.html||1-3年工作经验占比29%，平均月薪¥8,800；|3-5年工作经验占比67%，平均月薪¥11,700；|5-10年工作经验占比3%，平均月薪¥16,200；|10年以上工作经验占比1%，平均月薪¥24,266；|24岁以下占比27%；|25岁-29岁占比45%；|30岁-34岁占比21%；|35岁-39岁占比4%；|40岁-44岁占比2%；|45岁以上占比1%；
